input,output
当归三两 芍药三两 桂枝三两 细辛三两 木通三两 甘草二两(炙) 大枣二十五枚(劈),当归四逆汤方
大黄四两黄芩三两地黄四两牡丹皮三两,大黄黄芩地黄牡丹汤方
茯苓四两白术三两甘草一两（炙）,茯苓白术甘草汤方
大黄半斤 葶苈半斤(熬) 芒硝半斤 杏仁半斤(去皮尖熬),大陷胸丸方
桂枝三两芍药六两甘草二两生姜三两（切）大枣十二枚（劈）胶饴一升,小建中汤方
牡蛎 泽泻 括蒌根 蜀漆(洗去腥) 葶历(熬) 商陆根(熬) 海藻(洗去腥),牡蛎泽泻散方
柴胡四两黄芩三两芍药二两甘草二两（炙）半夏二两,柴胡黄芩芍药半夏甘草汤方
白术三两 石膏半斤(棉裹) 半夏半升(洗) 干姜二两,白术石膏半夏干姜汤方
大黄二两 黄连一两 黄芩一两,大黄黄连黄芩泻心汤方
人参二两 附子一枚 干姜三两 桂枝二两(去皮) 甘草二两(炙),人参干姜汤方
栀子十四枚（劈）生姜五两香豉四合（棉裹）,栀子生姜豉汤方
柴胡四两龙骨一两半黄芩一两半生姜一两半人参一两半桂枝一两半（去皮）茯苓一两半半夏二合半大黄二两牡蛎一两半大枣六枚（劈）铅丹一两半,柴胡加龙骨牡蛎汤方
黄连三两阿胶二两半夏半升（洗）桃仁二十枚（去皮尖）茯苓三两,黄连阿胶半夏桃仁茯苓汤方
栀子十四枚（劈）香豉四合（棉裹）,栀子豉汤方
麻黄六两 石膏半斤 甘草二两 生姜三两 大枣十五枚 半夏半升,越婢加半夏汤方
知母六两石膏一斤碎（棉裹）甘草二两（炙）粳米六合人参三两黄连三两阿胶二两,白虎加黄连阿胶汤方
人参三两 白术三两 甘草三两 干姜三两 附子一枚,理中加附子汤方
黄芩三两 芍药二两 甘草二两(炙) 半夏半升(洗) 生姜一两半 大枣十二枚(劈),黄芩加半夏生姜汤方
栀子十五个(劈) 甘草一两(炙) 黄柏二两,栀子柏皮汤方
括萎根三两 桂枝三两(去皮) 甘草二两(炙) 芍药三两 生姜二两(切) 大枣十二枚(劈),括蒌桂枝汤方
甘草三两 小麦一升 大枣十枚(劈),甘草小麦大枣汤方
吴茱萸二升 生姜半斤 附子一枚(炮去皮破八片) 当归三两 桂枝三两(去皮) 芍药三两 细辛三两 甘草二两(炙) 木通二两 大枣二十五枚(劈),当归四逆加吴茱萸生姜附子汤方
白术一两附子一枚（炮）甘草二两（炙）生姜一两半大枣六枚（劈）,白术附子汤方
乌头一两 蜀椒一两 附子五钱 干姜一两 赤石脂一两,乌头赤石脂丸方
柴胡半斤黄芩三两芍药三两半夏半升（洗）生姜五两（切）枳实四枚（炙）大枣十二枚（劈）大黄二两,大柴胡汤方
诃黎勒十枚(煨),诃黎勒散方
竹叶两把粳米半升半夏半升（洗）石膏一斤人参三两麦门冬一升甘草二两（炙）,竹叶石膏汤方
地黄六两黄柏三两秦皮二两茯苓三两泽泻一两,地黄黄柏秦皮茯苓泽泻汤方
枳实七枚 白术二两,枳实白术汤方
硝石(熬黄) 矾石(烧) 各等兮,硝石矾石散方
麻黄一两杏仁二十枚（去皮尖）薏苡一两甘草一两（炙）,麻黄杏仁薏苡甘草汤方
人参三两干姜三两甘草三两白术三两,理中丸方
柴胡半斤 桂枝三两 干姜二两 括萎根四两 黄芩三两 牡蛎二两(熬) 甘草二两(炙),柴胡桂枝干姜汤方
当归三两 生姜五两 羊肉一斤,当归生姜羊肉汤方
桂枝三两（去皮）芍药三两甘草二两（炙）生姜三两大枣十二枚（劈）附子一枚（炮去皮破八片）,枝枝加附子汤方
人参二两 附子一枚 干姜二枚(炮) 半夏半升 阿胶二两 柏叶三两,人参附子汤方
知母六两石膏一斤碎（棉裹）甘草二两（炙）粳米六合桂枝一两人参三两芍药二两,白虎加桂枝人参芍药汤方
桂枝三两 芍药三两 甘草二两(炙) 当归四两 细辛一两 附子一枚(炮) 人参二两 干姜一两半 生姜三两(切) 大枣十二枚(劈),桂枝加附子当归细辛人参干姜汤方
