input,output
"方剂组成：当归三两 芍药三两 桂枝三两 细辛三两 木通三两 甘草二两(炙) 大枣二十五枚(劈)
制备方法：右七味，以水八升，煮取三升，去滓，温服一升，日三服。",方剂名称：当归四逆汤方
"方剂组成：大黄四两
黄芩三两
地黄四两
牡丹皮三两
制备方法：右四味，以水一斗二升，煮取二升，去滓，分温二服，大便利，止后服。",方剂名称：大黄黄芩地黄牡丹汤方
"方剂组成：茯苓四两
白术三两
甘草一两（炙）
制备方法：右三味，以水八升，煮取三升，去滓，温服一升，日三服。",方剂名称：茯苓白术甘草汤方
"方剂组成：大黄半斤 葶苈半斤(熬) 芒硝半斤 杏仁半斤(去皮尖熬)
制备方法：右四味，捣筛二味，纳杏仁、芒硝，合研如脂，和散，取如弹丸一枚，别捣甘遂末一方寸匙，白蜜二合，水二升，煮取一升，去滓，温顿服之，一宿乃下，如不下，更服，取下为度，禁忌如药法。",方剂名称：大陷胸丸方
"方剂组成：桂枝三两
芍药六两
甘草二两
生姜三两（切）
大枣十二枚（劈）
胶饴一升
制备方法：右六味，以水七升，先煮五味取三升，去滓内饴更上微火消解，温服一升，日三服。呕家不可用，以甜故也。",方剂名称：小建中汤方
"方剂组成：牡蛎 泽泻 括蒌根 蜀漆(洗去腥) 葶历(熬) 商陆根(熬) 海藻(洗去腥)
制备方法：右七味等分，异捣，下筛为散，更入臼中治之，白饮和服方寸匙，日三服，小便利止后服。",方剂名称：牡蛎泽泻散方
"方剂组成：柴胡四两
黄芩三两
芍药二两
甘草二两（炙）
半夏二两
制备方法：右五味，以水五升，煮取三升，去滓，分温三服。",方剂名称：柴胡黄芩芍药半夏甘草汤方
"方剂组成：白术三两 石膏半斤(棉裹) 半夏半升(洗) 干姜二两
制备方法：右四味，以水六升，煮取三升，去滓，分温三服。渴者加人参二两，黄连一两。",方剂名称：白术石膏半夏干姜汤方
"方剂组成：大黄二两 黄连一两 黄芩一两
制备方法：右三味，以麻沸汤二升渍之，须臾绞去滓，分温再服。",方剂名称：大黄黄连黄芩泻心汤方
"方剂组成：人参二两 附子一枚 干姜三两 桂枝二两(去皮) 甘草二两(炙)
制备方法：右五味，以水二升，煮取一升，去滓，温顿服之。",方剂名称：人参干姜汤方
"方剂组成：栀子十四枚（劈）
生姜五两
香豉四合（棉裹）
制备方法：右三味，以水四升，先煮栀子生姜取二升半，纳豉煮取一升半，去滓，分二服，温进一服，得吐者止后服。",方剂名称：栀子生姜豉汤方
"方剂组成：柴胡四两
龙骨一两半
黄芩一两半
生姜一两半
人参一两半
桂枝一两半（去皮）
茯苓一两半
半夏二合半
大黄二两
牡蛎一两半
大枣六枚（劈）
铅丹一两半
制备方法：右十二味，以水八升，煮取四升，纳大黄切如棋子，更煮一二沸，去滓，温服一升，日三服，夜一服。",方剂名称：柴胡加龙骨牡蛎汤方
