相须药对 
药对  名称  剂量  适应症
麻黄  桂枝  5~10g  解表发汗，适用于风寒表实证。
荆芥  防风  10g  祛风解表，适用于感冒表证。温服后宜盖被避风半小时。
辛夷  苍耳子  10g  散风寒、通鼻窍，适用于鼻渊病。
葱白  豆豉  3~7个;10g  外感表证轻浅者。服后避风。
菊花  桑叶  10g  疏散风热，适用于风热表证。
大黄  芒硝  生用10g；后下冲入10g  阳明之燥热实证。为祛邪之重剂，只宜暂用，中病即止。
石膏  知母  30~60g 先煎；10g  清解胃热，不仅能增强清热之力，且能救阴。适用于阳明经证及胃热证。
代赭石  石膏  30~45g 先煎；15~30g先煎  清热降逆，适用于胃热所致呕吐、吐血病证。
鲜芦根  鲜竹叶  60g；30g  生津清热，适用于温热病后期热伤津虚之症。煎后代茶、温热病后期。
甘草  桔梗  3~5g（清炙炒用）；5~8g  利咽喉、排痰，适用于咽喉痛，肺痈成痈期。
田基黄  垂盆草  各30g/day  清热解毒，活血消肿。
天癸子  土贝母  各10g  清热解读、消肿散结。需服1~2个月，重者加倍。
鱼腥草  野荞麦根  20g/bid( 痰热咳嗽 )；30g/tid(肺痈患者)  清肺热、祛痰浊，适用于痰热咳嗽、肺痈病。
虎杖  红藤  10g ； 10~15g  清热解毒、活血祛瘀，适用于热盛瘀阻的外科病证。
黄连  黄芩  3g(吞服)、5~10g(煎服)；10g  清热燥湿、泻火解毒，适用于疮毒热证、血证。专治肺胃热盛。
黄连  山栀  3g(吞服)、5~10g(煎服)；10g  清心肝之火，适用于心肝火旺所致血证、不寐。 专治心肝火旺。
黄柏  知母  各10g  治疗盆腔湿热盛、肾阴亏之证型。火旺。
黄柏  知母  各10g  治疗盆腔湿热盛、肾阴亏之证型。
鲜石斛  鲜生地  各30g  清热养阴，适用于温病中后期。煎后代茶、温病中后期。
赤芍  丹皮  各10g  清热凉血、活血散瘀，适用于血瘀血热证。仅适用于血瘀热之轻证。
皂荚  明矾  1g；0.5g  减肥、祛痰、降脂，适用于痰湿过盛之肥胖病。服药期长，需3个月以上。需控制动物脂肪的摄入量。
